item_id,order_id,product_id,quantity,unit_price
I-000073,O-00031,P-024,1,65
I-000074,O-00031,P-006,1,85
I-000075,O-00032,P-018,2,98
I-000076,O-00033,P-007,3,98
I-000077,O-00033,P-015,1,18
I-000078,O-00033,P-034,1,45
I-000079,O-00034,P-019,1,18
I-000080,O-00034,P-017,3,58
I-000081,O-00034,P-007,1,98
I-000082,O-00035,P-010,2,45
I-000083,O-00035,P-031,3,85
I-000084,O-00035,P-016,3,24
I-000085,O-00035,P-011,3,85
I-000086,O-00036,P-004,1,72
I-000087,O-00036,P-005,1,45
I-000088,O-00036,P-006,2,85
I-000089,O-00037,P-016,2,24
I-000090,O-00037,P-029,1,58
I-000091,O-00037,P-029,1,58
I-000092,O-00037,P-005,2,45
I-000093,O-00038,P-018,1,98
I-000094,O-00038,P-012,2,65
I-000095,O-00039,P-016,3,24
I-000096,O-00040,P-033,1,18
I-000097,O-00041,P-012,2,65
I-000098,O-00041,P-027,1,52
I-000099,O-00041,P-004,1,72
I-000100,O-00041,P-034,3,45
I-000101,O-00042,P-012,2,65
I-000102,O-00042,P-009,2,98
I-000103,O-00043,P-002,1,85
I-000104,O-00043,P-012,1,65
I-000105,O-00044,P-026,2,52
I-000106,O-00044,P-022,3,85
I-000107,O-00044,P-001,2,38
I-000108,O-00044,P-005,2,45
I-000109,O-00045,P-032,2,45
I-000110,O-00046,P-024,2,65
I-000111,O-00046,P-020,3,120
I-000112,O-00046,P-015,2,18
I-000113,O-00046,P-006,2,85
I-000114,O-00047,P-028,3,38
I-000115,O-00047,P-024,3,65
I-000116,O-00047,P-013,3,18
I-000117,O-00048,P-006,1,85
I-000118,O-00048,P-034,2,45
I-000119,O-00048,P-001,3,38
I-000120,O-00049,P-017,3,58
I-000121,O-00050,P-005,3,45
I-000122,O-00050,P-013,3,18
I-000123,O-00050,P-022,3,85
I-000124,O-00050,P-017,2,58
I-000125,O-00051,P-021,2,24
I-000126,O-00051,P-011,1,85
I-000127,O-00051,P-025,3,18
I-000128,O-00052,P-011,1,85
I-000129,O-00052,P-015,1,18
I-000130,O-00052,P-034,3,45
I-000131,O-00053,P-025,3,18
I-000132,O-00054,P-031,2,85
I-000133,O-00054,P-005,2,45
I-000134,O-00054,P-008,3,65
I-000135,O-00055,P-023,2,85
I-000136,O-00055,P-018,2,98
I-000137,O-00055,P-012,1,65
I-000138,O-00056,P-008,1,65
I-000139,O-00057,P-001,2,38
I-000140,O-00057,P-011,3,85
I-000141,O-00058,P-021,2,24
I-000142,O-00058,P-022,3,85
I-000143,O-00059,P-020,1,120
I-000144,O-00059,P-029,1,58
I-000145,O-00059,P-014,2,38
I-000146,O-00059,P-002,1,85
I-000147,O-00060,P-010,3,45
I-000148,O-00060,P-026,2,52
I-000149,O-00060,P-033,3,18
I-000150,O-00061,P-032,3,45
I-000151,O-00061,P-004,1,72
I-000152,O-00061,P-028,2,38
I-000153,O-00061,P-002,3,85
I-000154,O-00062,P-018,2,98
I-000155,O-00062,P-022,2,85
I-000156,O-00062,P-024,3,65
I-000157,O-00062,P-031,3,85
I-000158,O-00063,P-008,1,65
I-000159,O-00063,P-019,1,18
I-000160,O-00063,P-022,1,85
I-000161,O-00063,P-023,3,85
I-000162,O-00064,P-030,1,32
I-000163,O-00064,P-023,2,85
I-000164,O-00065,P-008,1,65
I-000165,O-00065,P-006,1,85
I-000166,O-00065,P-030,3,32
I-000167,O-00065,P-026,1,52
I-000168,O-00066,P-018,2,98
I-000169,O-00066,P-028,1,38
I-000170,O-00067,P-013,1,18
I-000171,O-00067,P-030,3,32
I-000172,O-00068,P-031,1,85
I-000173,O-00068,P-033,1,18
I-000174,O-00068,P-025,3,18
I-000175,O-00069,P-015,2,18
I-000176,O-00069,P-003,1,120
I-000177,O-00069,P-023,2,85
I-000178,O-00070,P-016,3,24
I-000179,O-00070,P-028,2,38
I-000180,O-00070,P-008,1,65
I-000181,O-00070,P-014,1,38
I-000182,O-00071,P-025,2,18
I-000183,O-00071,P-010,3,45
I-000184,O-00071,P-034,1,45
I-000185,O-00072,P-024,1,65
I-000186,O-00072,P-001,1,38
I-000187,O-00072,P-025,1,18
I-000188,O-00073,P-011,2,85
I-000189,O-00074,P-018,2,98
I-000190,O-00074,P-014,1,38
I-000191,O-00074,P-030,2,32
I-000192,O-00075,P-008,2,65
I-000193,O-00075,P-020,1,120
I-000194,O-00076,P-010,1,45
I-000195,O-00076,P-012,2,65
I-000196,O-00076,P-013,2,18
I-000197,O-00077,P-033,1,18
I-000198,O-00077,P-007,3,98
I-000199,O-00077,P-022,3,85
I-000200,O-00077,P-033,3,18
I-000201,O-00078,P-014,3,38
I-000202,O-00078,P-027,2,52
I-000203,O-00078,P-001,1,38
I-000204,O-00079,P-013,2,18
I-000205,O-00080,P-021,2,24
I-000206,O-00080,P-027,3,52
I-000207,O-00080,P-002,2,85
I-000208,O-00081,P-031,1,85
I-000209,O-00081,P-011,1,85
I-000210,O-00082,P-001,3,38
I-000211,O-00083,P-032,2,45
I-000212,O-00083,P-002,2,85
I-000213,O-00084,P-022,2,85
I-000214,O-00084,P-024,2,65
I-000215,O-00084,P-004,2,72
I-000216,O-00084,P-018,3,98
I-000217,O-00085,P-034,3,45
I-000218,O-00085,P-002,2,85
I-000219,O-00085,P-016,3,24
I-000220,O-00086,P-034,3,45
I-000221,O-00087,P-030,3,32
I-000222,O-00087,P-008,1,65
I-000223,O-00087,P-022,3,85
I-000224,O-00088,P-002,3,85
I-000225,O-00089,P-008,1,65
I-000226,O-00089,P-016,3,24
I-000227,O-00090,P-011,1,85
I-000228,O-00090,P-005,1,45
I-000229,O-00090,P-023,2,85
I-000230,O-00090,P-009,2,98
I-000231,O-00091,P-024,2,65
I-000232,O-00091,P-019,3,18
I-000233,O-00091,P-002,2,85
I-000234,O-00092,P-032,3,45
I-000235,O-00092,P-029,1,58
I-000236,O-00092,P-020,2,120
I-000237,O-00092,P-028,1,38
I-000238,O-00093,P-002,1,85
I-000239,O-00093,P-032,2,45
I-000240,O-00093,P-008,1,65
I-000241,O-00093,P-025,1,18
I-000242,O-00094,P-019,1,18
I-000243,O-00094,P-019,1,18
I-000244,O-00095,P-005,3,45
I-000245,O-00096,P-020,1,120
I-000246,O-00097,P-012,2,65
I-000247,O-00097,P-022,3,85
I-000248,O-00097,P-023,1,85
I-000249,O-00098,P-027,2,52
I-000250,O-00099,P-011,3,85
I-000251,O-00099,P-032,2,45
I-000252,O-00100,P-009,1,98
I-000253,O-00101,P-027,2,52
I-000254,O-00101,P-030,3,32
I-000255,O-00102,P-012,1,65
I-000256,O-00102,P-033,1,18
I-000257,O-00102,P-012,2,65
I-000258,O-00102,P-027,3,52
I-000259,O-00103,P-022,3,85
I-000260,O-00104,P-011,2,85
I-000261,O-00104,P-027,1,52
I-000262,O-00104,P-022,3,85
I-000263,O-00104,P-014,2,38
I-000264,O-00105,P-008,1,65
I-000265,O-00105,P-009,2,98
I-000266,O-00106,P-010,3,45
I-000267,O-00106,P-023,1,85
I-000268,O-00106,P-002,1,85
I-000269,O-00106,P-004,1,72
I-000270,O-00107,P-032,1,45
I-000271,O-00107,P-007,3,98
I-000272,O-00107,P-002,3,85
I-000273,O-00107,P-022,2,85
I-000274,O-00108,P-033,1,18
I-000275,O-00108,P-024,2,65
I-000276,O-00108,P-011,3,85
I-000277,O-00109,P-002,2,85
I-000278,O-00109,P-001,3,38
I-000279,O-00109,P-012,3,65
I-000280,O-00110,P-029,1,58
I-000281,O-00110,P-017,3,58
I-000282,O-00110,P-019,1,18
I-000283,O-00110,P-029,3,58
I-000284,O-00111,P-011,2,85
I-000285,O-00111,P-027,3,52
I-000286,O-00111,P-011,1,85
I-000287,O-00111,P-034,3,45
I-000288,O-00112,P-022,1,85
I-000289,O-00112,P-007,1,98
I-000290,O-00112,P-016,1,24
I-000291,O-00113,P-005,1,45
I-000292,O-00114,P-025,3,18
I-000293,O-00114,P-023,3,85
I-000294,O-00115,P-005,2,45
I-000295,O-00116,P-003,1,120
I-000296,O-00116,P-015,1,18
I-000297,O-00116,P-005,3,45
I-000298,O-00116,P-024,1,65
I-000299,O-00117,P-018,3,98
I-000300,O-00117,P-021,2,24
I-000301,O-00117,P-004,2,72
I-000302,O-00118,P-021,3,24
I-000303,O-00118,P-004,2,72
I-000304,O-00119,P-020,3,120
I-000305,O-00119,P-034,1,45
I-000306,O-00119,P-019,2,18
I-000307,O-00120,P-012,2,65
I-000308,O-00121,P-016,3,24
I-000309,O-00121,P-029,1,58
I-000310,O-00121,P-020,2,120
I-000311,O-00122,P-021,1,24
I-000312,O-00123,P-020,1,120
I-000313,O-00124,P-028,1,38
I-000314,O-00124,P-010,1,45
I-000315,O-00125,P-015,1,18
I-000316,O-00125,P-025,1,18
I-000317,O-00125,P-029,2,58
I-000318,O-00125,P-005,3,45
I-000319,O-00126,P-027,3,52
I-000320,O-00127,P-033,2,18
I-000321,O-00127,P-001,2,38
I-000322,O-00128,P-020,2,120
I-000323,O-00128,P-011,3,85
I-000324,O-00128,P-023,2,85
I-000325,O-00128,P-019,3,18
I-000326,O-00129,P-005,2,45
I-000327,O-00129,P-020,3,120
I-000328,O-00130,P-004,3,72
I-000329,O-00130,P-010,1,45
I-000330,O-00130,P-020,2,120
I-000331,O-00130,P-005,3,45
I-000332,O-00131,P-002,3,85
I-000333,O-00131,P-011,1,85
I-000334,O-00131,P-033,2,18
I-000335,O-00131,P-028,2,38
I-000336,O-00132,P-019,1,18
I-000337,O-00132,P-011,1,85
I-000338,O-00133,P-009,2,98
I-000339,O-00133,P-032,2,45
I-000340,O-00133,P-013,3,18
I-000341,O-00134,P-027,1,52
I-000342,O-00134,P-018,1,98
I-000343,O-00135,P-021,3,24
I-000344,O-00135,P-029,1,58
I-000345,O-00135,P-026,2,52
I-000346,O-00136,P-008,2,65
I-000347,O-00136,P-025,2,18
I-000348,O-00137,P-004,2,72
I-000349,O-00138,P-030,3,32
I-000350,O-00138,P-024,1,65
I-000351,O-00138,P-001,2,38
I-000352,O-00139,P-016,1,24
I-000353,O-00139,P-018,2,98
I-000354,O-00139,P-016,2,24
I-000355,O-00139,P-003,1,120
I-000356,O-00140,P-012,1,65
I-000357,O-00140,P-010,2,45
I-000358,O-00140,P-026,3,52
I-000359,O-00140,P-014,1,38
I-000360,O-00141,P-020,1,120
I-000361,O-00142,P-029,3,58
I-000362,O-00142,P-015,2,18
I-000363,O-00143,P-004,3,72
I-000364,O-00143,P-033,2,18
I-000365,O-00144,P-019,3,18
I-000366,O-00144,P-019,1,18
I-000367,O-00144,P-019,1,18
I-000368,O-00145,P-008,1,65
I-000369,O-00145,P-028,3,38
I-000370,O-00145,P-002,3,85
I-000371,O-00146,P-007,3,98
I-000372,O-00146,P-027,3,52
I-000373,O-00146,P-034,1,45
I-000374,O-00147,P-003,2,120
I-000375,O-00147,P-025,1,18
I-000376,O-00148,P-025,2,18
I-000377,O-00148,P-011,1,85
I-000378,O-00149,P-013,2,18
I-000379,O-00149,P-001,3,38
I-000380,O-00149,P-003,2,120
I-000381,O-00149,P-002,2,85
I-000382,O-00150,P-031,3,85
I-000383,O-00151,P-004,2,72
I-000384,O-00151,P-007,2,98
I-000385,O-00151,P-017,3,58
I-000386,O-00152,P-019,3,18
I-000387,O-00152,P-027,2,52
I-000388,O-00153,P-009,2,98
I-000389,O-00153,P-001,2,38
I-000390,O-00153,P-022,1,85
I-000391,O-00154,P-012,1,65
I-000392,O-00154,P-001,2,38
I-000393,O-00154,P-004,1,72
I-000394,O-00155,P-022,2,85
I-000395,O-00156,P-030,2,32
I-000396,O-00157,P-022,3,85
I-000397,O-00157,P-018,2,98
I-000398,O-00158,P-015,1,18
I-000399,O-00158,P-009,1,98
I-000400,O-00158,P-034,2,45
I-000401,O-00158,P-034,3,45
I-000402,O-00159,P-004,2,72
I-000403,O-00159,P-009,2,98
I-000404,O-00159,P-009,1,98
I-000405,O-00159,P-014,3,38
I-000406,O-00160,P-030,3,32
I-000407,O-00160,P-026,3,52
I-000408,O-00161,P-026,3,52
I-000409,O-00162,P-020,2,120
I-000410,O-00162,P-001,3,38
I-000411,O-00162,P-002,1,85
I-000412,O-00163,P-003,3,120
I-000413,O-00163,P-010,3,45
I-000414,O-00164,P-011,2,85
I-000415,O-00164,P-031,3,85
I-000416,O-00164,P-009,2,98
I-000417,O-00165,P-010,3,45
I-000418,O-00165,P-011,3,85
I-000419,O-00166,P-005,1,45
I-000420,O-00166,P-011,1,85
I-000421,O-00166,P-031,2,85
I-000422,O-00166,P-028,3,38
I-000423,O-00167,P-002,2,85
I-000424,O-00168,P-029,2,58
I-000425,O-00168,P-002,3,85
I-000426,O-00168,P-015,2,18
I-000427,O-00168,P-006,1,85
I-000428,O-00169,P-001,3,38
I-000429,O-00170,P-025,3,18
I-000430,O-00170,P-020,1,120
I-000431,O-00170,P-016,3,24
I-000432,O-00170,P-021,3,24
I-000433,O-00171,P-008,1,65
I-000434,O-00172,P-023,1,85
I-000435,O-00172,P-034,1,45
I-000436,O-00173,P-030,2,32
I-000437,O-00173,P-018,2,98
I-000438,O-00173,P-016,1,24
I-000439,O-00174,P-033,3,18
I-000440,O-00174,P-015,3,18
I-000441,O-00174,P-010,2,45
I-000442,O-00174,P-007,3,98
I-000443,O-00175,P-007,1,98
I-000444,O-00175,P-004,1,72
I-000445,O-00176,P-028,2,38
I-000446,O-00177,P-012,2,65
I-000447,O-00177,P-027,1,52
I-000448,O-00177,P-011,3,85
I-000449,O-00178,P-034,2,45
I-000450,O-00178,P-029,3,58
I-000451,O-00178,P-030,2,32
I-000452,O-00179,P-008,3,65
I-000453,O-00180,P-019,3,18
I-000454,O-00180,P-023,2,85
I-000455,O-00181,P-013,3,18
I-000456,O-00181,P-007,3,98
I-000457,O-00181,P-031,2,85
I-000458,O-00182,P-018,1,98
I-000459,O-00182,P-007,3,98
I-000460,O-00182,P-005,1,45
I-000461,O-00183,P-026,1,52
I-000462,O-00183,P-029,3,58
I-000463,O-00183,P-017,1,58
I-000464,O-00184,P-032,3,45
I-000465,O-00184,P-012,2,65
I-000466,O-00184,P-020,2,120
I-000467,O-00185,P-007,3,98
I-000468,O-00186,P-024,1,65
I-000469,O-00186,P-008,1,65
I-000470,O-00187,P-034,2,45
I-000471,O-00187,P-008,1,65
I-000472,O-00187,P-001,2,38
I-000473,O-00187,P-028,2,38
I-000474,O-00188,P-002,1,85
I-000475,O-00188,P-003,2,120
I-000476,O-00189,P-027,3,52
I-000477,O-00189,P-014,3,38
I-000478,O-00190,P-003,3,120
I-000479,O-00190,P-024,2,65
I-000480,O-00190,P-003,1,120
I-000481,O-00190,P-022,2,85
I-000482,O-00191,P-003,1,120
I-000483,O-00191,P-004,2,72
I-000484,O-00191,P-033,1,18
I-000485,O-00191,P-034,1,45
I-000486,O-00192,P-009,3,98
I-000487,O-00192,P-016,1,24
I-000488,O-00192,P-019,3,18
I-000489,O-00192,P-034,1,45
I-000490,O-00193,P-015,2,18
I-000491,O-00193,P-016,3,24
I-000492,O-00193,P-024,2,65
I-000493,O-00193,P-033,1,18
I-000494,O-00194,P-033,1,18
I-000495,O-00194,P-016,3,24
I-000496,O-00195,P-020,2,120
I-000497,O-00195,P-013,1,18
I-000498,O-00195,P-003,2,120
I-000499,O-00195,P-023,1,85
I-000500,O-00196,P-002,2,85
I-000501,O-00196,P-002,2,85
I-000502,O-00196,P-031,3,85
I-000503,O-00197,P-022,3,85
I-000504,O-00197,P-011,3,85
I-000505,O-00198,P-005,3,45
I-000506,O-00198,P-024,1,65
I-000507,O-00199,P-017,2,58
I-000508,O-00199,P-019,3,18
I-000509,O-00199,P-022,2,85
I-000510,O-00199,P-031,1,85
I-000511,O-00200,P-024,2,65
I-000512,O-00200,P-021,1,24
I-000513,O-00200,P-031,2,85
I-000514,O-00200,P-005,1,45
I-000515,O-00201,P-015,1,18
I-000516,O-00201,P-009,3,98
I-000517,O-00201,P-010,3,45
I-000518,O-00201,P-007,1,98
I-000519,O-00202,P-031,1,85
I-000520,O-00202,P-021,2,24
I-000521,O-00202,P-028,2,38
I-000522,O-00202,P-009,1,98
I-000523,O-00203,P-008,2,65
I-000524,O-00203,P-014,3,38
I-000525,O-00203,P-012,2,65
I-000526,O-00204,P-016,2,24
I-000527,O-00204,P-012,3,65
I-000528,O-00205,P-015,1,18
I-000529,O-00205,P-005,1,45
I-000530,O-00205,P-024,3,65
I-000531,O-00206,P-017,1,58
I-000532,O-00207,P-017,2,58
I-000533,O-00208,P-018,2,98
I-000534,O-00208,P-003,2,120
I-000535,O-00209,P-001,1,38
I-000536,O-00209,P-004,3,72
I-000537,O-00209,P-007,3,98
I-000538,O-00209,P-019,3,18
I-000539,O-00210,P-017,2,58
I-000540,O-00210,P-020,2,120
I-000541,O-00210,P-007,3,98
I-000542,O-00210,P-016,1,24
I-000543,O-00211,P-001,3,38
I-000544,O-00211,P-012,2,65
I-000545,O-00211,P-028,2,38
I-000546,O-00211,P-025,1,18
I-000547,O-00212,P-008,2,65
I-000548,O-00213,P-012,1,65
I-000549,O-00213,P-024,1,65
I-000550,O-00213,P-022,3,85
I-000551,O-00213,P-028,1,38
I-000552,O-00214,P-021,3,24
I-000553,O-00214,P-021,3,24
I-000554,O-00215,P-033,3,18
I-000555,O-00216,P-032,2,45
I-000556,O-00216,P-027,3,52
I-000557,O-00216,P-029,1,58
I-000558,O-00216,P-008,3,65
I-000559,O-00217,P-011,2,85
I-000560,O-00217,P-003,2,120
I-000561,O-00218,P-024,1,65
I-000562,O-00218,P-013,2,18
I-000563,O-00218,P-006,2,85
I-000564,O-00218,P-004,1,72
I-000565,O-00219,P-021,3,24
I-000566,O-00220,P-001,2,38
I-000567,O-00220,P-003,1,120
I-000568,O-00220,P-004,1,72
I-000569,O-00221,P-001,3,38
I-000570,O-00222,P-032,2,45
I-000571,O-00222,P-004,2,72
I-000572,O-00223,P-005,2,45
I-000573,O-00223,P-021,2,24
I-000574,O-00224,P-004,2,72
I-000575,O-00225,P-021,1,24
I-000576,O-00225,P-005,2,45
I-000577,O-00226,P-013,3,18
I-000578,O-00226,P-033,3,18
I-000579,O-00226,P-011,1,85
I-000580,O-00226,P-019,3,18
I-000581,O-00227,P-032,1,45
I-000582,O-00228,P-031,3,85
I-000583,O-00228,P-018,3,98
I-000584,O-00228,P-002,1,85
I-000585,O-00228,P-020,1,120
I-000586,O-00229,P-019,1,18
I-000587,O-00229,P-033,1,18
I-000588,O-00229,P-024,2,65
I-000589,O-00230,P-002,3,85
I-000590,O-00230,P-021,3,24
I-000591,O-00230,P-025,1,18
I-000592,O-00230,P-033,2,18
I-000593,O-00231,P-027,2,52
I-000594,O-00231,P-016,3,24
I-000595,O-00231,P-034,2,45
I-000596,O-00232,P-027,1,52
I-000597,O-00232,P-007,3,98
I-000598,O-00232,P-028,3,38
I-000599,O-00233,P-014,1,38
I-000600,O-00233,P-010,2,45
I-000601,O-00234,P-014,2,38
I-000602,O-00234,P-002,1,85
I-000603,O-00234,P-008,2,65
I-000604,O-00234,P-014,2,38
I-000605,O-00235,P-001,2,38
I-000606,O-00235,P-034,3,45
I-000607,O-00236,P-032,1,45
I-000608,O-00237,P-013,2,18
I-000609,O-00237,P-003,3,120
I-000610,O-00237,P-013,2,18
I-000611,O-00238,P-007,2,98
I-000612,O-00239,P-008,2,65
I-000613,O-00240,P-034,3,45
I-000614,O-00241,P-020,1,120
I-000615,O-00241,P-024,3,65
I-000616,O-00241,P-013,3,18
I-000617,O-00241,P-010,3,45
I-000618,O-00242,P-008,1,65
I-000619,O-00242,P-008,3,65
I-000620,O-00243,P-006,3,85
I-000621,O-00244,P-002,3,85
I-000622,O-00245,P-025,3,18
I-000623,O-00246,P-006,3,85
I-000624,O-00246,P-029,2,58
I-000625,O-00246,P-019,1,18
I-000626,O-00246,P-028,3,38
I-000627,O-00247,P-027,1,52
I-000628,O-00247,P-023,3,85
I-000629,O-00247,P-013,3,18
I-000630,O-00247,P-021,2,24
I-000631,O-00248,P-012,2,65
I-000632,O-00248,P-024,2,65
I-000633,O-00248,P-006,2,85
I-000634,O-00248,P-021,1,24
I-000635,O-00249,P-027,3,52
I-000636,O-00249,P-033,2,18
I-000637,O-00249,P-001,2,38
I-000638,O-00250,P-018,3,98
I-000639,O-00250,P-024,1,65
I-000640,O-00250,P-010,1,45
I-000641,O-00250,P-027,1,52
I-000642,O-00251,P-012,2,65
I-000643,O-00251,P-021,3,24
I-000644,O-00252,P-026,3,52
I-000645,O-00253,P-008,1,65
I-000646,O-00253,P-019,2,18
I-000647,O-00253,P-019,3,18
I-000648,O-00253,P-013,3,18
I-000649,O-00254,P-007,1,98
I-000650,O-00254,P-021,2,24
I-000651,O-00254,P-009,2,98
I-000652,O-00255,P-024,2,65
I-000653,O-00255,P-002,1,85
I-000654,O-00255,P-029,3,58
I-000655,O-00256,P-006,1,85
I-000656,O-00257,P-001,2,38
I-000657,O-00257,P-028,1,38
I-000658,O-00258,P-007,1,98
I-000659,O-00258,P-013,2,18
I-000660,O-00258,P-027,2,52
I-000661,O-00259,P-032,1,45
I-000662,O-00259,P-001,2,38
I-000663,O-00259,P-022,1,85
I-000664,O-00260,P-012,2,65
I-000665,O-00260,P-033,1,18
I-000666,O-00260,P-029,1,58
I-000667,O-00260,P-024,1,65
I-000668,O-00261,P-023,1,85
I-000669,O-00262,P-032,2,45
I-000670,O-00262,P-015,2,18
I-000671,O-00262,P-026,1,52
I-000672,O-00263,P-034,2,45
I-000673,O-00263,P-031,1,85
I-000674,O-00264,P-021,1,24
I-000675,O-00264,P-028,2,38
I-000676,O-00264,P-011,1,85
I-000677,O-00265,P-015,3,18
I-000678,O-00265,P-016,2,24
I-000679,O-00265,P-013,3,18
I-000680,O-00266,P-010,3,45
I-000681,O-00267,P-008,1,65
I-000682,O-00267,P-032,2,45
I-000683,O-00267,P-008,1,65
I-000684,O-00267,P-005,2,45
I-000685,O-00268,P-022,3,85
I-000686,O-00269,P-009,1,98
I-000687,O-00269,P-019,2,18
I-000688,O-00269,P-009,2,98
I-000689,O-00270,P-032,2,45
I-000690,O-00270,P-013,2,18
I-000691,O-00271,P-009,1,98
I-000692,O-00272,P-023,2,85
I-000693,O-00273,P-003,3,120
I-000694,O-00273,P-027,1,52
I-000695,O-00273,P-029,1,58
I-000696,O-00274,P-015,1,18
I-000697,O-00274,P-026,3,52
I-000698,O-00274,P-003,1,120
I-000699,O-00274,P-013,2,18
I-000700,O-00275,P-021,3,24
I-000701,O-00276,P-017,2,58
I-000702,O-00276,P-023,3,85
I-000703,O-00276,P-029,1,58
I-000704,O-00277,P-027,2,52
I-000705,O-00277,P-026,1,52
I-000706,O-00278,P-011,3,85
I-000707,O-00279,P-020,1,120
I-000708,O-00279,P-027,3,52
I-000709,O-00279,P-012,1,65
I-000710,O-00279,P-019,1,18
I-000711,O-00280,P-030,3,32
I-000712,O-00280,P-012,2,65
I-000713,O-00281,P-012,1,65
I-000714,O-00281,P-022,2,85
I-000715,O-00281,P-011,1,85
I-000716,O-00281,P-023,2,85
I-000717,O-00282,P-008,2,65
I-000718,O-00283,P-007,3,98
I-000719,O-00283,P-032,1,45
I-000720,O-00284,P-033,3,18
I-000721,O-00284,P-034,1,45
I-000722,O-00284,P-031,3,85
I-000723,O-00284,P-016,2,24
I-000724,O-00285,P-034,3,45
I-000725,O-00286,P-029,2,58
I-000726,O-00287,P-001,1,38
I-000727,O-00288,P-024,2,65
I-000728,O-00288,P-010,1,45
I-000729,O-00288,P-032,3,45
I-000730,O-00289,P-024,2,65
I-000731,O-00290,P-010,2,45
I-000732,O-00290,P-027,1,52
I-000733,O-00290,P-003,1,120
I-000734,O-00290,P-011,1,85
I-000735,O-00291,P-006,3,85
I-000736,O-00291,P-032,3,45
I-000737,O-00291,P-018,3,98
I-000738,O-00291,P-004,1,72
I-000739,O-00292,P-010,3,45
I-000740,O-00292,P-010,1,45
I-000741,O-00292,P-011,2,85
I-000742,O-00292,P-026,3,52
I-000743,O-00293,P-013,1,18
I-000744,O-00294,P-006,3,85
I-000745,O-00294,P-033,2,18
I-000746,O-00294,P-028,2,38
I-000747,O-00294,P-010,1,45
I-000748,O-00295,P-021,1,24
I-000749,O-00295,P-022,2,85
I-000750,O-00295,P-019,3,18
I-000751,O-00295,P-012,1,65
I-000752,O-00296,P-004,2,72
I-000753,O-00296,P-031,3,85
I-000754,O-00296,P-006,3,85
I-000755,O-00297,P-032,2,45
I-000756,O-00297,P-027,2,52
I-000757,O-00298,P-011,3,85
I-000758,O-00298,P-018,2,98
I-000759,O-00298,P-001,1,38
I-000760,O-00298,P-033,2,18
I-000761,O-00299,P-007,2,98
I-000762,O-00299,P-020,1,120
I-000763,O-00299,P-016,1,24
I-000764,O-00300,P-018,1,98
I-000765,O-00300,P-001,2,38
I-000766,O-00300,P-026,1,52
I-000767,O-00300,P-025,2,18
I-000768,O-00301,P-024,3,65
I-000769,O-00301,P-029,1,58
I-000770,O-00301,P-022,2,85
I-000771,O-00301,P-029,1,58
I-000772,O-00302,P-024,1,65
I-000773,O-00302,P-018,3,98
I-000774,O-00303,P-023,1,85
I-000775,O-00303,P-013,1,18
